,Age,Gender,Tenure,Service_Internet,Service_Phone,Service_TV,Contract,PaymentMethod,MonthlyCharges,TotalCharges,StreamingMovies,StreamingMusic,OnlineSecurity,TechSupport,Churn
0,56.0,1,13,0,1,0,1,3,71.88,931.49,0,0,1,0,0
1,69.0,1,13,0,0,1,2,3,110.99,1448.46,1,1,0,0,0
2,46.0,1,60,1,0,1,0,3,116.74,6997.73,1,1,0,0,0
3,32.0,0,57,1,1,1,0,0,78.16,4452.13,0,1,0,1,0
4,60.0,1,52,1,1,1,2,2,30.33,1569.73,1,0,1,1,0
5,25.0,0,53,1,1,1,0,0,77.33,4107.57,1,0,1,0,0
6,38.0,1,43,1,1,0,2,3,79.76,3437.48,1,0,0,0,0
7,56.0,1,42,0,0,1,0,0,98.92,4154.29,0,1,0,0,0
8,36.0,0,26,0,1,1,0,2,24.82,662.63,0,0,1,1,0
9,40.0,1,23,1,1,1,2,3,66.63,1536.62,0,1,0,0,0
10,28.0,0,43,1,1,1,0,2,112.28,4831.6,1,0,1,1,0
11,28.0,0,28,1,1,0,2,1,119.13,3338.13,0,0,1,0,0
12,41.0,1,9,0,0,1,2,3,39.14,339.64,0,0,1,0,0
13,53.0,0,20,1,1,1,2,1,107.06,2132.26,1,1,0,0,0
14,57.0,1,56,0,0,1,0,3,34.63,1938.73,0,0,0,0,0
15,41.0,1,39,0,0,1,1,2,104.12,4060.22,0,0,1,1,0
16,20.0,0,51,1,1,1,2,3,47.73,2440.13,1,1,1,0,0
17,39.0,1,12,0,1,1,1,2,115.96,1384.84,1,0,0,0,0
18,19.0,0,55,1,0,0,1,1,89.55,4925.96,1,0,0,1,0
19,41.0,1,11,0,1,1,2,1,59.91,659.9,1,0,1,0,0
20,61.0,1,26,1,1,1,1,0,48.1,1251.88,0,0,1,0,0
21,47.0,1,42,1,1,1,2,0,43.52,1828.0,0,1,1,1,0
22,55.0,1,27,1,1,1,0,3,88.08,2364.12,1,0,1,0,0
23,19.0,1,11,1,0,1,0,1,109.58,1182.77,0,0,0,1,1
24,38.0,0,38,0,1,0,0,2,95.49,3619.2,0,1,0,0,0
25,50.0,0,43,1,1,0,0,0,103.48,4444.33,1,1,0,0,0
26,29.0,0,19,1,0,1,1,2,98.14,1852.88,0,1,0,1,0
27,39.0,0,64,0,0,1,0,1,117.91,2132.26,0,1,0,0,0
28,61.0,0,6,1,1,1,2,2,95.78,585.58,1,0,0,0,1
29,42.0,0,46,0,0,1,0,1,41.02,1894.18,1,1,1,0,0
30,44.0,1,42,1,1,0,0,3,99.16,4169.38,1,1,1,1,0
31,44.0,1,65,1,0,0,0,2,52.21,3403.5,1,1,0,0,0
32,59.0,0,59,0,1,0,0,3,119.58,7045.97,1,1,1,0,0
33,45.0,0,52,1,1,1,0,0,57.67,2994.27,1,1,1,1,0
34,33.0,1,47,1,0,1,0,0,69.59,2322.31,0,1,0,1,0
35,32.0,1,7,1,1,0,1,2,43.92,302.69,0,1,1,0,0
36,64.0,1,11,1,0,0,0,3,85.85,940.15,1,0,0,0,1
37,68.0,0,61,1,1,0,0,2,30.92,1904.74,1,1,1,0,0
38,61.0,0,68,1,0,1,1,1,115.36,2132.26,0,0,0,0,0
39,69.0,0,25,1,0,1,0,2,49.43,1253.39,0,1,1,1,0
40,44.0,1,12,0,1,1,0,0,49.54,576.25,1,1,0,0,0
41,54.0,1,26,1,0,1,0,2,24.61,633.55,1,1,1,0,0
42,68.0,0,12,1,1,1,0,2,44.6,539.29,0,1,0,0,0
43,24.0,0,43,1,0,0,1,1,61.9,2662.64,1,1,0,1,0
44,38.0,1,51,1,1,1,0,2,56.96,2132.26,1,1,1,0,0
45,26.0,1,37,1,0,1,2,2,47.3,1747.8,1,1,1,0,0
46,56.0,1,46,1,1,0,2,2,24.07,1131.95,1,0,1,0,0
47,35.0,1,53,1,1,1,0,3,50.06,2655.65,1,1,0,0,0
48,21.0,0,13,1,1,0,2,0,97.83,1277.83,1,0,0,1,0
49,42.0,1,54,1,1,1,0,2,63.88,3443.08,0,0,1,0,0
50,31.0,1,57,1,0,1,0,0,49.08,2799.99,0,0,0,0,0
51,67.0,1,4,1,1,0,0,2,50.48,201.8,0,1,0,0,0
52,26.0,0,49,1,1,0,0,1,75.44,3707.75,1,0,1,1,0
53,43.0,0,7,0,1,1,1,1,50.23,362.48,1,1,0,1,0
54,44.0,1,11,1,1,0,0,1,83.08,917.96,0,1,0,1,1
55,37.0,1,54,1,1,1,2,1,118.95,6424.01,0,1,0,0,0
56,45.0,1,45,0,0,1,1,2,24.12,1068.61,1,0,1,1,0
57,64.0,0,23,0,0,1,0,2,36.87,830.87,1,1,1,0,0
58,24.0,0,28,1,1,1,1,0,37.91,1062.3,1,0,1,0,0
59,44.0,0,57,1,1,0,2,2,64.71,3697.22,1,1,0,1,0
60,25.0,1,26,1,1,0,0,2,24.14,640.96,1,0,0,1,0
61,64.0,0,25,0,1,0,0,2,67.75,1684.85,0,0,1,0,0
62,52.0,1,54,0,1,0,0,3,112.89,6080.97,1,0,1,1,0
63,31.0,1,29,1,0,1,0,3,21.16,622.97,0,1,1,0,0
64,34.0,1,36,1,1,0,0,2,56.49,2025.49,0,0,0,1,0
65,53.0,0,14,0,0,0,0,2,96.09,1329.49,1,0,1,0,0
66,67.0,1,35,1,1,0,1,0,35.45,1235.81,0,1,0,1,0
